 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 5.    Time:  17: 3:23
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    2      7.26     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    3     14.51     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    4     21.77     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    5     29.03     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    6     36.29     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    7     43.54     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    8     50.80     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
    9     58.06     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   10     65.31     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   11     72.57     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   12     79.83     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   13     87.09     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   14     94.34     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   15    101.60     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   16    108.86     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   17    116.11     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   18    123.37     0.042     0.419       0.0   0.170E+00     1.000     0.001     1.000     1.000     1.000
   19    130.00     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   20    137.89     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   21    145.14     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   22    152.40     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   23    159.66     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   24    166.91     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   25    174.17     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   26    181.43     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   27    188.69     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   28    195.94     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   29    203.20     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   30    210.46     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   31    217.71     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   32    224.97     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   33    232.23     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   34    239.49     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   35    246.74     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   36    254.00     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   37    261.26     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   38    268.51     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   39    275.77     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   40    283.03     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   41    290.29     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   42    297.54     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   43    304.80     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   44    312.06     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   45    319.31     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   46    326.57     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   47    333.83     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   48    341.09     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   49    348.34     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   50    355.60     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   51    362.86     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   52    370.11     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   53    377.37     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   54    384.63     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   55    391.89     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   56    399.14     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   57    406.40     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   58    413.66     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   59    420.91     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   60    428.17     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   61    435.43     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   62    442.69     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   63    449.94     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   64    457.20     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   65    464.46     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
   66    471.71     0.076     0.479       0.0   0.433E-01     0.255     0.001     1.000     1.000     1.000
