 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 5.    Time:  23: 1:18
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    2      6.69     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    3     13.38     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    4     20.07     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    5     26.76     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    6     33.44     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    7     40.13     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    8     46.82     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
    9     53.51     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   10     60.20     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   11     66.89     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   12     73.58     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   13     80.27     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   14     86.96     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   15     93.65     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   16    100.33     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   17    107.02     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   18    113.71     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   19    120.40     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   20    127.09     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   21    133.78     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   22    140.47     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   23    147.16     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   24    153.85     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   25    160.54     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   26    167.22     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   27    173.91     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   28    180.60     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   29    187.29     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   30    193.98     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   31    200.67     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   32    207.36     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   33    214.05     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   34    220.74     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   35    227.43     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   36    234.11     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   37    240.80     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   38    247.49     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   39    254.18     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   40    260.87     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   41    267.56     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   42    274.25     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
   43    280.94     0.065     0.451       0.0   0.750E-01     1.000     0.001     1.000     1.000     1.000
