Date,Station Id,Station Name,Precipitation Increment (in),Air Temperature Observed (degF),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Soil Moisture Percent -2in (pct),Soil Moisture Percent -4in (pct),Soil Moisture Percent -8in (pct),Soil Moisture Percent -20in (pct),Soil Moisture Percent -40in (pct),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF),Relative Humidity (pct),Solar Radiation Average (watt/m2)
2020-10-01 00:00,2006,Bushland #1,0.00,63,62,63,59,,20.3,16.6,17.0,17.7,,66,67,65,66,46,0.00
2020-10-01 01:00,2006,Bushland #1,0.00,59,58,59,56,,20.2,16.7,17.0,17.7,,66,66,65,66,52,0.00
2020-10-01 02:00,2006,Bushland #1,0.00,56,54,56,52,,20.1,16.9,16.9,17.4,,65,66,65,66,57,0.00
2020-10-01 03:00,2006,Bushland #1,0.00,52,51,52,48,,20.0,16.8,17.3,17.7,,65,66,65,66,63,0.00
2020-10-01 04:00,2006,Bushland #1,0.00,48,48,49,48,,19.6,16.9,17.7,17.5,,64,66,65,66,70,0.00
2020-10-01 05:00,2006,Bushland #1,0.00,48,47,48,47,,19.4,16.8,16.7,17.3,,64,65,65,66,70,0.00
2020-10-01 06:00,2006,Bushland #1,0.00,47,46,47,46,,19.3,17.1,16.9,17.5,,63,65,65,66,69,4.66
2020-10-01 07:00,2006,Bushland #1,0.00,46,48,51,46,,19.2,16.7,17.5,17.5,,62,65,65,66,75,117.70
2020-10-01 08:00,2006,Bushland #1,0.00,51,54,56,51,,19.0,16.7,17.1,17.5,,62,65,65,66,61,321.40
2020-10-01 09:00,2006,Bushland #1,0.00,56,58,60,56,,19.0,16.6,17.5,17.4,,62,64,65,66,50,512.60
2020-10-01 10:00,2006,Bushland #1,0.00,60,62,64,60,,19.0,16.8,17.3,17.4,,62,64,65,66,34,661.90
2020-10-01 11:00,2006,Bushland #1,0.00,64,65,66,64,,19.2,16.6,17.1,17.5,,63,64,65,66,26,759.00
2020-10-01 12:00,2006,Bushland #1,0.00,66,67,68,66,,19.5,16.9,17.1,17.3,,64,64,65,66,22,795.00
2020-10-01 13:00,2006,Bushland #1,0.00,67,69,70,67,,19.7,16.7,17.6,17.6,,65,65,65,66,22,767.00
2020-10-01 14:00,2006,Bushland #1,0.00,70,70,70,69,,19.9,16.7,17.6,17.2,,66,65,65,66,22,678.90
2020-10-01 15:00,2006,Bushland #1,0.00,70,71,71,70,,20.4,16.7,17.2,17.6,,67,66,65,66,21,537.40
2020-10-01 16:00,2006,Bushland #1,0.00,70,70,70,69,,20.4,17.1,17.3,17.6,,68,66,65,66,21,355.90
2020-10-01 17:00,2006,Bushland #1,0.00,70,69,70,66,,20.4,16.7,17.6,17.6,,68,66,65,66,21,156.40
2020-10-01 18:00,2006,Bushland #1,0.00,66,64,66,59,,20.4,16.4,16.7,17.4,,68,67,65,66,24,12.02
2020-10-01 19:00,2006,Bushland #1,0.00,59,56,59,54,,20.1,17.0,17.5,17.3,,67,67,65,66,29,0.00
2020-10-01 20:00,2006,Bushland #1,0.00,55,53,55,51,,19.8,17.0,17.7,17.6,,66,67,65,66,33,0.00
2020-10-01 21:00,2006,Bushland #1,0.00,52,51,52,50,,19.4,17.1,17.3,17.4,,65,67,65,66,39,0.00
2020-10-01 22:00,2006,Bushland #1,0.00,50,49,50,47,,19.2,16.8,17.1,17.3,,65,66,65,66,39,0.00
2020-10-01 23:00,2006,Bushland #1,0.00,47,46,47,45,,18.9,16.9,17.2,17.8,,64,66,65,66,47,0.00
2020-10-02 00:00,2006,Bushland #1,0.00,45,45,45,44,,18.7,17.0,17.0,17.5,,63,66,65,66,49,0.00
2020-10-02 01:00,2006,Bushland #1,0.00,44,44,44,44,,18.6,16.6,17.5,17.5,,63,65,65,66,48,0.00
